iter	MultiRMSE
0	27.77296471
1	27.05770153
2	26.36795999
3	25.69579895
4	25.04037782
5	24.4157521
6	23.8003054
7	23.20274404
8	22.62623184
9	22.07269381
10	21.53284569
11	21.01226844
12	20.50468571
13	20.01771132
14	19.54149331
15	19.08722025
16	18.6376886
17	18.20504522
18	17.78462063
19	17.37801126
20	16.9848013
21	16.59986688
22	16.23315859
23	15.87597127
24	15.53564154
25	15.20129579
26	14.87698592
27	14.56562295
28	14.26363482
29	13.97132028
30	13.6917468
31	13.41486974
32	13.1524131
33	12.89838331
34	12.65165227
35	12.41597287
36	12.18521169
37	11.96407118
38	11.74838816
39	11.5394276
40	11.33877886
41	11.14660577
42	10.96014874
43	10.77438513
44	10.59280534
45	10.42597241
46	10.26308231
47	10.09775466
48	9.946349456
49	9.792242897
50	9.648064577
51	9.505120473
52	9.372683481
53	9.247681623
54	9.12471771
55	9.000567451
56	8.882324516
57	8.768622036
58	8.661355338
59	8.554851489
60	8.456557943
61	8.358756674
62	8.264906307
63	8.175533956
64	8.088161538
65	8.00658464
66	7.926446659
67	7.849665276
68	7.773304222
69	7.69945084
70	7.630753761
71	7.564302168
72	7.502373413
73	7.439850983
74	7.380808755
75	7.323683346
76	7.269915507
77	7.216526793
78	7.166944891
79	7.117146986
80	7.070339104
81	7.024933105
82	6.980869474
83	6.938723369
84	6.897681613
85	6.857759705
86	6.821096215
87	6.785060488
88	6.749793244
89	6.716655852
90	6.683397498
91	6.652932943
92	6.622836165
93	6.593979778
94	6.567007972
95	6.540148961
96	6.514555653
97	6.489779776
98	6.466247142
99	6.444287914
100	6.422281233
101	6.401590278
102	6.381150702
103	6.360601013
104	6.34211985
105	6.32360064
106	6.307021074
107	6.290989314
108	6.274341865
109	6.25903909
110	6.243376352
111	6.229020048
112	6.215588099
113	6.201658379
114	6.188938918
115	6.176611085
116	6.164629607
117	6.152393741
118	6.141239226
119	6.13058686
120	6.120167918
121	6.109876574
122	6.099465048
123	6.090494733
124	6.08033261
125	6.072125886
126	6.062763141
127	6.054931481
128	6.045070015
129	6.036562891
130	6.029427338
131	6.022249643
132	6.015241145
133	6.008978688
134	6.001042792
135	5.994781635
136	5.988693949
137	5.983219675
138	5.976545959
139	5.970986159
140	5.965673003
141	5.959595712
142	5.952492755
143	5.947645613
144	5.942826199
145	5.937936712
146	5.932496224
147	5.928045987
148	5.922912143
149	5.918704951
150	5.913094938
151	5.905509448
152	5.900329699
153	5.891851264
154	5.887079507
155	5.882553245
156	5.879020152
157	5.873193089
158	5.869849295
159	5.863239068
160	5.858822091
161	5.85368122
162	5.846501511
163	5.840579298
164	5.836836646
165	5.831203491
166	5.827091322
167	5.823684089
168	5.820159243
169	5.817529025
170	5.81310897
171	5.807672243
172	5.80446303
173	5.80134967
174	5.79823092
175	5.79530104
176	5.792157963
177	5.78685666
178	5.782829753
179	5.778611099
180	5.77508934
181	5.771380241
182	5.766347634
183	5.763111129
184	5.760527727
185	5.757620188
186	5.754264474
187	5.750684523
188	5.746037472
189	5.742417484
190	5.738525241
191	5.733537431
192	5.730030937
193	5.728459295
194	5.724508605
195	5.721172216
196	5.717145601
197	5.713759562
198	5.712378503
199	5.708381355
200	5.703345427
201	5.701919233
202	5.699980843
203	5.697096412
204	5.692710711
205	5.689615215
206	5.685221356
207	5.682332098
208	5.679041351
209	5.677186808
210	5.674995485
211	5.671917115
212	5.669513027
213	5.667062754
214	5.665095518
215	5.66137123
216	5.658896341
217	5.65548426
218	5.651185205
219	5.649649731
220	5.647769457
221	5.644243307
222	5.642422301
223	5.640103814
224	5.637405586
225	5.635328101
226	5.632406881
227	5.630538111
228	5.628505571
229	5.626079878
230	5.623791881
231	5.621435529
232	5.619542437
233	5.61733335
234	5.614965511
235	5.613422044
236	5.610730844
237	5.607127658
238	5.605253179
239	5.6038179
240	5.601423755
241	5.599497381
242	5.597938841
243	5.59586823
244	5.593333105
245	5.591794911
246	5.590060848
247	5.587729245
248	5.585584619
249	5.582453803
250	5.579799742
251	5.57809136
252	5.576596987
253	5.575027846
254	5.573470557
255	5.571627619
256	5.570172509
257	5.568664811
258	5.567124763
259	5.56508037
260	5.562340534
261	5.560375545
262	5.558685348
263	5.556385626
264	5.554590669
265	5.552589168
266	5.550998424
267	5.548980406
268	5.546925727
269	5.545086595
270	5.542853507
271	5.541261471
272	5.53962233
273	5.539048067
274	5.537119115
275	5.535393211
276	5.533570717
277	5.53126869
278	5.530105606
279	5.528852568
280	5.527780875
281	5.526032433
282	5.524488874
283	5.523387789
284	5.521551782
285	5.52015505
286	5.518492763
287	5.517588232
288	5.515572114
289	5.513756527
290	5.512454025
291	5.511426445
292	5.509867926
293	5.508287623
294	5.507116274
295	5.506102919
296	5.504553595
297	5.503282304
298	5.502242484
299	5.500202166
300	5.499107678
301	5.4977141
302	5.495744393
303	5.494818197
304	5.493644069
305	5.492124097
306	5.491010103
307	5.489631523
308	5.488175713
309	5.486171881
310	5.485477309
311	5.484416634
312	5.482420011
313	5.480876142
314	5.479088759
315	5.477934754
316	5.476630246
317	5.474746358
318	5.473458506
319	5.472215643
320	5.471429421
321	5.469936114
322	5.469201752
323	5.467769352
324	5.466310713
325	5.464652989
326	5.462680601
327	5.46129531
328	5.459965386
329	5.45879892
330	5.457977054
331	5.456864846
332	5.455648642
333	5.45389304
334	5.452713829
335	5.451680258
336	5.450015685
337	5.449234079
338	5.44813581
339	5.447501139
340	5.445636123
341	5.444479455
342	5.443761549
343	5.442323517
344	5.440971371
345	5.439859414
346	5.438540723
347	5.437685105
348	5.43664925
349	5.435454067
350	5.434137627
351	5.433193311
352	5.432175519
353	5.430616516
354	5.429262587
355	5.428461975
356	5.427108464
357	5.425890262
358	5.424983771
359	5.42378841
360	5.422732613
361	5.421756812
362	5.420597241
363	5.419508402
364	5.4182816
365	5.417039316
366	5.415450656
367	5.414660496
368	5.413688699
369	5.412609891
370	5.410725423
371	5.409337327
372	5.407896042
373	5.407121329
374	5.405654439
375	5.40475912
376	5.403747383
377	5.402574668
378	5.401305306
379	5.399972032
380	5.398706588
381	5.397571095
382	5.396415918
383	5.395483356
384	5.394126613
385	5.393071415
386	5.392011199
387	5.390918191
388	5.389760364
389	5.388630724
390	5.387624005
391	5.386283974
392	5.384962689
393	5.384134489
394	5.38313479
395	5.38199506
396	5.380478982
397	5.37923483
398	5.378210499
399	5.377248508
400	5.376661843
401	5.375719028
402	5.374895671
403	5.373794561
404	5.372978262
405	5.372075371
406	5.371017219
407	5.370016192
408	5.368414647
409	5.367485562
410	5.366613559
411	5.365701276
412	5.364454049
413	5.363115151
414	5.362217471
415	5.361448067
416	5.360310712
417	5.359149792
418	5.358233885
419	5.357215928
420	5.356280406
421	5.354997015
422	5.354405213
423	5.353144396
424	5.351536244
425	5.350587774
426	5.34969048
427	5.348852088
428	5.347563299
429	5.34663453
430	5.344961694
431	5.343913611
432	5.342991134
433	5.342068692
434	5.340189897
435	5.339270747
436	5.338179425
437	5.337141906
438	5.335432971
439	5.33425766
440	5.3330247
441	5.332106671
442	5.330810225
443	5.329804399
444	5.328888119
445	5.328071593
446	5.326975588
447	5.32575758
448	5.324647584
449	5.323636515
450	5.322835823
451	5.322092904
452	5.321145217
453	5.320024666
454	5.318934479
455	5.317846488
456	5.316839067
457	5.316180263
458	5.314902908
459	5.313477513
460	5.312581479
461	5.311514754
462	5.310347881
463	5.309177141
464	5.308284389
465	5.306996594
466	5.305954074
467	5.305262054
468	5.304238668
469	5.303309294
470	5.302659741
471	5.301527033
472	5.300565976
473	5.299289688
474	5.298244301
475	5.297495436
476	5.296623304
477	5.295254068
478	5.293866456
479	5.292724523
480	5.291920256
481	5.290887912
482	5.290352854
483	5.289351463
484	5.288164464
485	5.287440448
486	5.286386942
487	5.285086586
488	5.284186103
489	5.283136182
490	5.282460194
491	5.281495473
492	5.280574195
493	5.279502622
494	5.278208203
495	5.277731834
496	5.276812434
497	5.275866553
498	5.275040236
499	5.27410755
500	5.272870602
501	5.271808232
502	5.27087314
503	5.27010824
504	5.269261127
505	5.268608528
506	5.267759206
507	5.266500731
508	5.265997671
509	5.265405982
510	5.264342273
511	5.263469724
512	5.262335801
513	5.260919851
514	5.26004443
515	5.259210177
516	5.25814341
517	5.256902934
518	5.256322155
519	5.25540389
520	5.254199577
521	5.253416811
522	5.252672779
523	5.251763532
524	5.250448688
525	5.249568522
526	5.248704005
527	5.248101
528	5.246444354
529	5.2457953
530	5.244812122
531	5.244072972
532	5.243066561
533	5.241945892
534	5.24095531
535	5.239939324
536	5.238662202
537	5.23815025
538	5.23742198
539	5.236763519
540	5.235887
541	5.234994345
542	5.233784668
543	5.232948674
544	5.232055572
545	5.231388406
546	5.230679712
547	5.229932515
548	5.22890334
549	5.227781215
550	5.226868093
551	5.226078451
552	5.224963245
553	5.224170465
554	5.223126881
555	5.222257702
556	5.221570519
557	5.220650227
558	5.220034382
559	5.219209035
560	5.218483947
561	5.217466771
562	5.216881054
563	5.216074373
564	5.214571821
565	5.213864207
566	5.212944691
567	5.212311052
568	5.21125913
569	5.210363802
570	5.209740263
571	5.208891739
572	5.208329037
573	5.207567457
574	5.206797357
575	5.206030087
576	5.205288659
577	5.204624498
578	5.203685105
579	5.202854431
580	5.202109515
581	5.201397915
582	5.200399503
583	5.199578729
584	5.198768175
585	5.197913212
586	5.197223386
587	5.196461375
588	5.195273671
589	5.194675347
590	5.19400423
591	5.192814188
592	5.191351572
593	5.190579608
594	5.189950813
595	5.189141028
596	5.188423403
597	5.187169288
598	5.186561289
599	5.18573573
600	5.185082982
601	5.184385021
602	5.183508631
603	5.182921454
604	5.182182085
605	5.181430419
606	5.180428878
607	5.179548109
608	5.178317303
609	5.177700757
610	5.177008811
611	5.176225413
612	5.175555509
613	5.174572959
614	5.173556738
615	5.173056819
616	5.172517415
617	5.171781743
618	5.171031213
619	5.169990788
620	5.169462159
621	5.168666553
622	5.168121226
623	5.167414374
624	5.166589774
625	5.165893861
626	5.165324861
627	5.164539184
628	5.163500631
629	5.1627096
630	5.16126159
631	5.160058872
632	5.159585804
633	5.158479105
634	5.157637879
635	5.156740909
636	5.155949537
637	5.15511446
638	5.153988835
639	5.152830222
640	5.152000563
641	5.151168771
642	5.150433659
643	5.149497288
644	5.148405626
645	5.14765513
646	5.147090945
647	5.146496918
648	5.145658559
649	5.145004252
650	5.144558237
651	5.143680902
652	5.143113606
653	5.142340739
654	5.141682719
655	5.141024219
656	5.140328197
657	5.139330446
658	5.138704514
659	5.13788499
660	5.136936734
661	5.135798203
662	5.135005629
663	5.134500598
664	5.133743113
665	5.132958143
666	5.132229771
667	5.131385093
668	5.130218328
669	5.129604623
670	5.128890881
671	5.127847241
672	5.12713681
673	5.126332297
674	5.12569506
675	5.125246722
676	5.124796985
677	5.124002021
678	5.123454539
679	5.122683484
680	5.122194751
681	5.121502637
682	5.120627393
683	5.120060963
684	5.119104848
685	5.1185379
686	5.117819685
687	5.117301258
688	5.116536438
689	5.115836822
690	5.115171482
691	5.114614767
692	5.113888165
693	5.11293664
694	5.112133115
695	5.111317697
696	5.11067524
697	5.110203661
698	5.109318571
699	5.108535667
700	5.10789547
701	5.107390743
702	5.106660456
703	5.106128956
704	5.105540002
705	5.104969346
706	5.104139598
707	5.10344699
708	5.102626828
709	5.101475143
710	5.100958476
711	5.099970086
712	5.099512477
713	5.098793793
714	5.098164564
715	5.097298493
716	5.096720635
717	5.095834254
718	5.095047774
719	5.094443275
720	5.093613438
721	5.093093724
722	5.092596985
723	5.092144633
724	5.091216735
725	5.090441551
726	5.08968657
727	5.088969716
728	5.088414257
729	5.087632857
730	5.087152019
731	5.086362541
732	5.085688267
733	5.085224456
734	5.084706996
735	5.084025496
736	5.083477706
737	5.082784532
738	5.082176569
739	5.081629519
740	5.080966396
741	5.080277435
742	5.079641782
743	5.078751831
744	5.078287341
745	5.077531172
746	5.076567837
747	5.07599679
748	5.075357917
749	5.074875301
750	5.074457749
751	5.073611907
752	5.072913856
753	5.072581375
754	5.071515354
755	5.070995171
756	5.070358705
757	5.069608563
758	5.068719686
759	5.067813234
760	5.066791943
761	5.066370677
762	5.065644363
763	5.064581284
764	5.063999921
765	5.063133646
766	5.062066537
767	5.061297838
768	5.060259648
769	5.059567718
770	5.058829115
771	5.057845947
772	5.057091538
773	5.056579198
774	5.055787623
775	5.055150458
776	5.054141156
777	5.053649033
778	5.0528693
779	5.052179403
780	5.051374133
781	5.050586732
782	5.050191863
783	5.04979745
784	5.048911651
785	5.048460821
786	5.047849124
787	5.047097539
788	5.046480011
789	5.045704411
790	5.045066755
791	5.044662319
792	5.044114268
793	5.043345859
794	5.042891814
795	5.042521004
796	5.041893385
797	5.041419711
798	5.040852388
799	5.039992743
800	5.039399356
801	5.038691296
802	5.038124258
803	5.037104844
804	5.036364929
805	5.035786176
806	5.034993126
807	5.034463193
808	5.033351003
809	5.032657527
810	5.031730593
811	5.031004202
812	5.030323061
813	5.029758444
814	5.02901832
815	5.027889242
816	5.027207239
817	5.026761461
818	5.025956577
819	5.025348952
820	5.024814545
821	5.024299043
822	5.023704303
823	5.023185896
824	5.022529177
825	5.021850615
826	5.021272236
827	5.020674915
828	5.019911265
829	5.01944983
830	5.01869748
831	5.018017482
832	5.017511208
833	5.016982614
834	5.016465445
835	5.01582521
836	5.015139583
837	5.014542392
838	5.013943376
839	5.013323242
840	5.01246701
841	5.011974646
842	5.011310321
843	5.010790068
844	5.009900381
845	5.009407261
846	5.008685872
847	5.007588735
848	5.007277768
849	5.006462922
850	5.005947387
851	5.005552306
852	5.00474805
853	5.004047112
854	5.003347727
855	5.002820399
856	5.002140739
857	5.001288302
858	5.00084411
859	5.000142216
860	4.999374089
861	4.998911645
862	4.998360798
863	4.997830071
864	4.997381905
865	4.996666317
866	4.996029915
867	4.995694617
868	4.995071007
869	4.994374579
870	4.993884902
871	4.992733124
872	4.992194373
873	4.991547319
874	4.99063689
875	4.99002573
876	4.98936336
877	4.988727116
878	4.988060227
879	4.987720116
880	4.98736248
881	4.986665201
882	4.986124797
883	4.985596744
884	4.984746942
885	4.984182532
886	4.983642102
887	4.983049707
888	4.982156231
889	4.981679337
890	4.981208264
891	4.980540786
892	4.980086747
893	4.979454554
894	4.979028072
895	4.978235191
896	4.977850401
897	4.977353038
898	4.976794597
899	4.975904088
900	4.974942756
901	4.974192797
902	4.973651211
903	4.973094024
904	4.972644595
905	4.972020516
906	4.971300023
907	4.970849451
908	4.970331715
909	4.969865964
910	4.969397841
911	4.968691808
912	4.968211779
913	4.967778993
914	4.967222046
915	4.96682759
916	4.966288792
917	4.965834554
918	4.965277555
919	4.964905681
920	4.964155429
921	4.963707492
922	4.963061105
923	4.962454917
924	4.961634898
925	4.960730246
926	4.960346169
927	4.959947918
928	4.95948678
929	4.958726198
930	4.958282309
931	4.95748434
932	4.956839934
933	4.956392785
934	4.955900393
935	4.955280724
936	4.954820172
937	4.954100734
938	4.953114433
939	4.952690768
940	4.952172597
941	4.951451503
942	4.950824535
943	4.950003353
944	4.949479567
945	4.948959273
946	4.948060287
947	4.947674475
948	4.94708693
949	4.946566287
950	4.946030693
951	4.94564729
952	4.945018727
953	4.944426586
954	4.943962315
955	4.943370973
956	4.942723184
957	4.941857336
958	4.941414368
959	4.94109608
960	4.940493158
961	4.940009085
962	4.93956933
963	4.939056656
964	4.938686498
965	4.938118197
966	4.937479
967	4.937024792
968	4.936306388
969	4.935765112
970	4.935131062
971	4.934431577
972	4.933887571
973	4.933219603
974	4.932812969
975	4.932295112
976	4.931582084
977	4.931200484
978	4.930620491
979	4.930187961
980	4.929921049
981	4.929440496
982	4.928755497
983	4.928232139
984	4.927709585
985	4.927438138
986	4.926719887
987	4.92595694
988	4.925489029
989	4.924711293
990	4.923976955
991	4.923455465
992	4.922823241
993	4.922107499
994	4.921637691
995	4.920978679
996	4.919948704
997	4.919677978
998	4.91916218
999	4.91862242
1000	4.917768625
1001	4.917052046
1002	4.916572976
1003	4.916039931
1004	4.915412527
1005	4.914702643
1006	4.914136736
1007	4.913403408
1008	4.912908457
1009	4.912427933
1010	4.911941316
1011	4.911448702
1012	4.910829404
1013	4.910034603
1014	4.909320709
1015	4.908499799
1016	4.908079136
1017	4.907520988
1018	4.90705793
1019	4.906459109
1020	4.905489544
1021	4.904943125
1022	4.904346238
1023	4.9037249
1024	4.903235515
1025	4.902760169
1026	4.90216337
1027	4.901661264
1028	4.900928242
1029	4.900308906
1030	4.899589265
1031	4.898876598
1032	4.898484167
1033	4.89798203
1034	4.897481741
1035	4.896935795
1036	4.896537271
1037	4.896008311
1038	4.894965921
1039	4.894371926
1040	4.893892746
1041	4.893303644
1042	4.892910436
1043	4.892378628
1044	4.891937351
1045	4.891418266
1046	4.890941559
1047	4.890478432
1048	4.889886279
1049	4.889456899
1050	4.88918146
1051	4.888755082
1052	4.888174323
1053	4.887494473
1054	4.886949656
1055	4.886561135
1056	4.886213682
1057	4.885571783
1058	4.884815948
1059	4.884150549
1060	4.883457399
1061	4.882694179
1062	4.882294705
1063	4.881904944
1064	4.881525097
1065	4.881239064
1066	4.880535925
1067	4.880132655
1068	4.879665666
1069	4.879101702
1070	4.878651089
1071	4.878371163
1072	4.877755339
1073	4.877181474
1074	4.876409426
1075	4.875746583
1076	4.875243197
1077	4.874791058
1078	4.874336259
1079	4.873981574
1080	4.873458201
1081	4.873056713
1082	4.872255015
1083	4.87157241
1084	4.871362011
1085	4.870888131
1086	4.870339827
1087	4.869684997
1088	4.869152442
1089	4.868493959
1090	4.867941233
1091	4.867308986
1092	4.866893414
1093	4.866452111
1094	4.866205815
1095	4.865706718
1096	4.864781441
1097	4.864297734
1098	4.863703274
1099	4.862802952
1100	4.86216942
1101	4.861709767
1102	4.861357316
1103	4.860642362
1104	4.859808076
1105	4.859389169
1106	4.858730408
1107	4.858360955
1108	4.857671716
1109	4.857301588
1110	4.856888714
1111	4.856459374
1112	4.856082484
1113	4.85514794
1114	4.854607429
1115	4.854192156
1116	4.853515574
1117	4.852939826
1118	4.852367831
1119	4.851912487
1120	4.851490812
1121	4.851070973
1122	4.850618547
1123	4.850131567
1124	4.849681757
1125	4.84918209
1126	4.848709731
1127	4.848141899
1128	4.847712674
1129	4.846990506
1130	4.84655809
1131	4.846000497
1132	4.845370776
1133	4.844900917
1134	4.844461705
1135	4.843614747
1136	4.842834501
1137	4.842285536
1138	4.841574555
1139	4.841131948
1140	4.840281969
1141	4.839310389
1142	4.838842899
1143	4.838217348
1144	4.837500074
1145	4.836891868
1146	4.83639474
1147	4.836027156
1148	4.83561415
1149	4.834846452
1150	4.834314175
1151	4.833757839
1152	4.833145794
1153	4.832662515
1154	4.832216086
1155	4.831747468
1156	4.831254508
1157	4.830259435
1158	4.829834538
1159	4.82940533
1160	4.828953008
1161	4.828430745
1162	4.827893034
1163	4.82723576
1164	4.826783053
1165	4.826426796
1166	4.825883709
1167	4.825354964
1168	4.824621344
1169	4.823917125
1170	4.823385801
1171	4.823087832
1172	4.822292602
1173	4.821479902
1174	4.820866706
1175	4.820471592
1176	4.819714338
1177	4.818954044
1178	4.818397589
1179	4.817768777
1180	4.817301814
1181	4.816864772
1182	4.816380738
