iter	Passed	Remaining
0	197	295482
1	330	247648
2	458	228761
3	586	219343
4	713	213249
5	838	208810
6	968	206610
7	1098	204813
8	1222	202589
9	1357	202328
10	1485	201088
11	1612	199897
12	1746	199726
13	1874	199003
14	2002	198242
15	2126	197239
16	2256	196831
17	2383	196238
18	2521	196568
19	2644	195729
20	2771	195206
21	2894	194432
22	3017	193768
23	3141	193211
24	3265	192693
25	3386	192008
26	3508	191391
27	3640	191378
28	3760	190724
29	3877	190012
30	4002	189670
31	4120	189038
32	4233	188209
33	4352	187689
34	4472	187209
35	4589	186640
36	4709	186209
37	4827	185716
38	4948	185365
39	5072	185138
40	5191	184752
41	5310	184341
42	5437	184241
43	5574	184470
44	5708	184577
45	5827	184202
46	5972	184628
47	6123	185220
48	6235	184640
49	6360	184460
50	6484	184238
51	6610	184068
52	6738	183960
53	6857	183620
54	6973	183223
55	7096	182988
56	7221	182822
57	7348	182691
58	7479	182667
59	7600	182413
60	7726	182264
61	7846	181980
62	7969	181769
63	8096	181657
64	8218	181446
65	8337	181144
66	8458	180912
67	8582	180737
68	8698	180409
69	8811	180006
70	8934	179830
71	9051	179515
72	9173	179320
73	9287	178969
74	9411	178823
75	9531	178581
76	9654	178423
77	9773	178180
78	9887	177854
79	10001	177533
80	10115	177212
81	10238	177058
82	10363	176927
83	10479	176662
84	10591	176310
85	10704	175999
86	10819	175729
87	10931	175406
88	11038	175005
89	11157	174802
90	11268	174478
91	11381	174183
92	11495	173918
93	11601	173531
94	11715	173267
95	11836	173116
96	11952	172874
97	12060	172537
98	12167	172194
99	12277	171878
100	12388	171592
101	12497	171289
102	12607	170998
103	12716	170698
104	12822	170354
105	12936	170127
106	13044	169825
107	13152	169521
108	13258	169202
109	13368	168926
110	13472	168586
111	13582	168330
112	13697	168126
113	13805	167841
114	13911	167538
115	14014	167206
116	14117	166873
117	14232	166685
118	14333	166343
119	14434	165999
120	14538	165693
121	14651	165490
122	14759	165238
123	14870	165014
124	14988	164873
125	15096	164627
126	15202	164350
127	15310	164113
128	15423	163921
129	15538	163753
130	15637	163416
131	15751	163245
132	15854	162956
133	16010	163207
134	16112	162919
135	16212	162597
136	16319	162361
137	16433	162191
138	16539	161944
139	16638	161631
140	16735	161297
141	16838	161028
142	16960	160943
143	17057	160624
144	17155	160319
145	17254	160020
146	17365	159828
147	17469	159582
148	17575	159362
149	17671	159046
150	17779	158841
151	17899	158743
152	18006	158525
153	18133	158488
154	18238	158260
155	18345	158054
156	18446	157796
157	18565	157689
158	18658	157368
159	18774	157237
160	18886	157077
161	19006	156978
162	19128	156899
163	19244	156775
164	19347	156542
165	19459	156380
166	19571	156218
167	19677	156011
168	19778	155768
169	19871	155463
170	19990	155368
171	20119	155344
172	20233	155203
173	20336	154980
174	20440	154764
175	20549	154588
176	20653	154375
177	20769	154255
178	20874	154051
179	20978	153845
180	21088	153677
181	21198	153514
182	21316	153411
183	21434	153303
184	21539	153102
185	21640	152882
186	21745	152680
187	21854	152518
188	21969	152394
189	22079	152232
190	22186	152054
191	22307	151969
192	22425	151864
193	22515	151572
194	22630	151453
195	22741	151299
196	22858	151190
197	22968	151037
198	23061	150769
199	23175	150640
200	23308	150637
201	23404	150389
202	23509	150204
203	23623	150076
204	23751	150040
205	23865	149914
206	24001	149919
207	24117	149804
208	24232	149684
209	24338	149509
210	24445	149339
211	24558	149203
212	24657	148984
213	24763	148813
214	24871	148649
215	25005	148644
216	25118	148512
217	25239	148428
218	25376	148435
219	25475	148221
220	25581	148045
221	25698	147938
222	25805	147774
223	25944	147793
224	26083	147807
225	26189	147634
226	26307	147531
227	26419	147393
228	26532	147260
229	26646	147137
230	26758	146998
231	26865	146833
232	26968	146646
233	27081	146520
234	27198	146406
235	27309	146266
236	27433	146195
237	27569	146188
238	27681	146052
239	27796	145931
240	27908	145797
241	28024	145679
242	28124	145483
243	28232	145330
244	28355	145247
245	28454	145048
246	28568	144925
247	28681	144793
248	28788	144637
249	28915	144575
250	29032	144469
251	29146	144346
252	29254	144190
253	29357	144015
254	29460	143835
255	29576	143725
256	29683	143568
257	29784	143381
258	29885	143195
259	30005	143103
260	30127	143021
261	30245	142914
262	30352	142760
263	30483	142717
264	30592	142574
265	30713	142484
266	30831	142380
267	30950	142279
268	31059	142135
269	31164	141971
270	31287	141889
271	31402	141772
272	31512	141632
273	31603	141410
274	31717	141287
275	31818	141108
276	31925	140954
277	32050	140883
278	32151	140705
279	32261	140567
280	32365	140405
281	32482	140295
282	32595	140172
283	32699	140011
284	32819	139913
285	32920	139738
286	33039	139642
287	33137	139454
288	33268	139404
289	33382	139283
290	33494	139156
291	33594	138979
292	33699	138824
293	33817	138719
294	33920	138557
295	34031	138423
296	34144	138302
297	34257	138180
298	34363	138029
299	34491	137967
300	34598	137817
301	34713	137703
302	34836	137622
303	34945	137484
304	35048	137319
305	35165	137212
306	35271	137063
307	35386	136951
308	35509	136867
309	35647	136839
310	35753	136690
311	35862	136552
312	36022	136607
313	36135	136487
314	36259	136403
315	36373	136285
316	36496	136199
317	36617	136108
318	36732	135991
319	36853	135895
320	36951	135717
321	37068	135609
322	37175	135467
323	37292	135357
324	37404	135230
325	37524	135134
326	37643	135034
327	37769	134955
328	37884	134841
329	38002	134736
330	38107	134583
331	38218	134455
332	38335	134346
333	38459	134261
334	38575	134150
335	38697	134058
336	38821	133974
337	38918	133795
338	39033	133682
339	39132	133510
340	39265	133457
341	39368	133301
342	39463	133118
343	39578	133003
344	39697	132901
345	39802	132751
346	39923	132656
347	40036	132535
348	40138	132377
349	40253	132260
350	40373	132164
351	40489	132050
352	40610	131955
353	40731	131859
354	40848	131751
355	40945	131578
356	41055	131445
357	41162	131306
358	41274	131181
359	41397	131093
360	41508	130965
361	41617	130831
362	41729	130705
363	41840	130579
364	41958	130472
365	42084	130393
366	42204	130292
367	42313	130158
368	42416	130009
369	42525	129876
370	42645	129775
371	42765	129675
372	42887	129583
373	43003	129469
374	43128	129385
375	43246	129277
376	43357	129151
377	43470	129030
378	43587	128921
379	43703	128810
380	43817	128692
381	43936	128590
382	44044	128454
383	44153	128322
384	44269	128207
385	44379	128080
386	44487	127944
387	44604	127835
388	44709	127691
389	44831	127596
390	44933	127446
391	45059	127361
392	45181	127266
393	45294	127147
394	45402	127011
395	45519	126903
396	45649	126830
397	45769	126729
398	45925	126725
399	46063	126673
400	46167	126529
401	46280	126407
402	46399	126303
403	46514	126188
404	46626	126063
405	46729	125916
406	46853	125824
407	46962	125694
408	47081	125589
409	47207	125502
410	47320	125382
411	47431	125256
412	47543	125133
413	47681	125076
414	47790	124945
415	47894	124803
416	48013	124697
417	48123	124569
418	48229	124428
419	48335	124292
420	48450	124175
421	48574	124084
422	48681	123947
423	48789	123816
424	48924	123750
425	49034	123621
426	49149	123507
427	49262	123385
428	49377	123270
429	49485	123138
